boundary_state,boundary_district,ifi_district_candidates,match_status,reason
,,Lawngtlai,IFI_ONLY,IFI district token absent from boundary exact names
,,Leh ladakh,NORMALIZED_MATCH_REQUIRES_VERIFICATION,IFI name has a normalized boundary candidate; state and historical identity require verification
,,Leparada,IFI_ONLY,IFI district token absent from boundary exact names
,,Longding,IFI_ONLY,IFI district token absent from boundary exact names
,,Lower Lower Subansiri,IFI_ONLY,IFI district token absent from boundary exact names
,,Lower Siang,IFI_ONLY,IFI district token absent from boundary exact names
,,Mahabubabad,IFI_ONLY,IFI district token absent from boundary exact names
,,Mahabubnagar,IFI_ONLY,IFI district token absent from boundary exact names
,,Mahisagar,IFI_ONLY,IFI district token absent from boundary exact names
,,Mahrajganj,IFI_ONLY,IFI district token absent from boundary exact names
,,Majuli,IFI_ONLY,IFI district token absent from boundary exact names
,,Malda,IFI_ONLY,IFI district token absent from boundary exact names
,,Malikkeri,IFI_ONLY,IFI district token absent from boundary exact names
,,Manali,IFI_ONLY,IFI district token absent from boundary exact names
,,Mancachar,IFI_ONLY,IFI district token absent from boundary exact names
,,Mancherial,IFI_ONLY,IFI district token absent from boundary exact names
,,Mangalbari,IFI_ONLY,IFI district token absent from boundary exact names
,,Mangalore,IFI_ONLY,IFI district token absent from boundary exact names
,,Mangan,IFI_ONLY,IFI district token absent from boundary exact names
,,Many districts of South Bengal,IFI_ONLY,IFI district token absent from boundary exact names
,,Many districts of Tamil Nadu.,IFI_ONLY,IFI district token absent from boundary exact names
,,Many districts of Uttar Kashi Pradesh,IFI_ONLY,IFI district token absent from boundary exact names
,,Many parts,IFI_ONLY,IFI district token absent from boundary exact names
,,Many parts of Tamil Nadu.,IFI_ONLY,IFI district token absent from boundary exact names
,,Many parts of the State,IFI_ONLY,IFI district token absent from boundary exact names
,,Marathwada,IFI_ONLY,IFI district token absent from boundary exact names
,,Medchal Malkajgiri,IFI_ONLY,IFI district token absent from boundary exact names
,,Mirpur,IFI_ONLY,IFI district token absent from boundary exact names
,,Morbi,IFI_ONLY,IFI district token absent from boundary exact names
,,Most Upper Lower Subansiri,IFI_ONLY,IFI district token absent from boundary exact names
,,Most of the districts,IFI_ONLY,IFI district token absent from boundary exact names
,,Most parts,IFI_ONLY,IFI district token absent from boundary exact names
,,Mudigere,IFI_ONLY,IFI district token absent from boundary exact names
,,Mulugu,IFI_ONLY,IFI district token absent from boundary exact names
,,Mumbai (Colaba),IFI_ONLY,IFI district token absent from boundary exact names
,,Mungeli,IFI_ONLY,IFI district token absent from boundary exact names
,,Muzaffarabad,IFI_ONLY,IFI district token absent from boundary exact names
,,Mysuru,IFI_ONLY,IFI district token absent from boundary exact names
,,Nabarangpur,IFI_ONLY,IFI district token absent from boundary exact names
,,Nagapattinam,IFI_ONLY,IFI district token absent from boundary exact names
,,Nagarkoil,IFI_ONLY,IFI district token absent from boundary exact names
,,Nagarkurnool,IFI_ONLY,IFI district token absent from boundary exact names
,,Namchi,IFI_ONLY,IFI district token absent from boundary exact names
,,Namsai,IFI_ONLY,IFI district token absent from boundary exact names
,,Narayanpet,IFI_ONLY,IFI district token absent from boundary exact names
,,Narmadapuram,IFI_ONLY,IFI district token absent from boundary exact names
,,New New Delhi,IFI_ONLY,IFI district token absent from boundary exact names
,,Nirmal,IFI_ONLY,IFI district token absent from boundary exact names
,,Niwari,IFI_ONLY,IFI district token absent from boundary exact names
,,Noney,IFI_ONLY,IFI district token absent from boundary exact names
,,North And Middle Andaman,IFI_ONLY,IFI district token absent from boundary exact names
,,North Bengal,IFI_ONLY,IFI district token absent from boundary exact names
,,North Garo Hills,IFI_ONLY,IFI district token absent from boundary exact names
,,North west,NORMALIZED_MATCH_REQUIRES_VERIFICATION,IFI name has a normalized boundary candidate; state and historical identity require verification
,,North westduar,IFI_ONLY,IFI district token absent from boundary exact names
,,North westdusar,IFI_ONLY,IFI district token absent from boundary exact names
,,Northern parts,IFI_ONLY,IFI district token absent from boundary exact names
,,Ntr,IFI_ONLY,IFI district token absent from boundary exact names
,,Nuh,IFI_ONLY,IFI district token absent from boundary exact names
,,Pak,IFI_ONLY,IFI district token absent from boundary exact names
,,Pakke Kessang,IFI_ONLY,IFI district token absent from boundary exact names
,,Palampur,IFI_ONLY,IFI district token absent from boundary exact names
,,Palghar,IFI_ONLY,IFI district token absent from boundary exact names
,,Palnadu,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Andhra Pradesh,IFI_ONLY,IFI district token absent from boundary exact names
